TimeStamp,time,Totalparticle,PM10,PM2.5,PM1
18/05/2010,08:57:22,143.3,41,6.66,1.57
18/05/2010,08:57:37,488.7,60.9,6.46,1.51
18/05/2010,08:57:52,61.2,27.8,6.66,1.59
18/05/2010,08:58:07,72.6,29.4,6.11,1.43
18/05/2010,08:58:22,85.6,37.8,6.01,1.39
18/05/2010,08:58:37,74.7,37.3,5.81,1.4
18/05/2010,08:58:52,31.8,16.9,5.94,1.29
18/05/2010,08:59:07,47.4,23.8,5.81,1.26
18/05/2010,08:59:22,59.3,25.1,5.73,1.4
18/05/2010,08:59:37,71.9,22.7,5.42,1.3
18/05/2010,08:59:52,74.1,32.9,5.32,1.32
18/05/2010,09:00:07,62.4,23.1,5.45,1.31
18/05/2010,09:00:22,78.9,25.2,6.03,1.39
18/05/2010,09:00:37,54.7,28.5,5.73,1.43
18/05/2010,09:00:52,77.7,30.1,6,1.35
18/05/2010,09:01:07,108.2,26.6,5.69,1.28
18/05/2010,09:01:22,70.5,29.5,5.42,1.27
18/05/2010,09:01:37,60.1,22.7,5.84,1.48
18/05/2010,09:01:52,42.3,24.4,6.06,1.33
18/05/2010,09:02:07,61.2,22.4,5.26,1.31
18/05/2010,09:02:22,66.9,30.8,5.95,1.4
18/05/2010,09:02:37,142.3,19,5.75,1.32
18/05/2010,09:02:52,66.7,21.9,5.28,1.36
18/05/2010,09:03:07,90.4,33,5.42,1.39
18/05/2010,09:03:22,59.9,27.5,6.07,1.21
18/05/2010,09:03:37,59.8,22.1,6.18,1.29
18/05/2010,09:03:52,127.4,30.4,5.58,1.25
18/05/2010,09:04:07,79,20.8,5.17,1.28
18/05/2010,09:04:22,100.7,34.5,5.72,1.27
18/05/2010,09:04:37,160.4,35.3,6.92,1.32
18/05/2010,09:04:52,121.2,29.4,6.13,1.22
18/05/2010,09:05:07,149.2,43.1,6.64,1.48
18/05/2010,09:05:22,122,33.9,5.89,1.45
18/05/2010,09:05:37,188.6,46,6.18,1.59
18/05/2010,09:05:52,144.6,35.8,5.84,1.28
18/05/2010,09:06:07,88.4,40,6.21,1.27
18/05/2010,09:06:22,150,45.7,6.2,1.45
18/05/2010,09:06:37,181.8,44.8,6.11,1.37
18/05/2010,09:06:52,201.4,42,6.01,1.4
18/05/2010,09:07:07,106.5,41.5,7.06,1.41
18/05/2010,09:07:22,215.7,47.3,5.97,1.23
18/05/2010,09:07:37,131.1,34.9,6.21,1.32
18/05/2010,09:07:52,121.5,34,6.21,1.45
18/05/2010,09:08:07,226.4,44.2,6.31,1.35
18/05/2010,09:08:22,197.2,52.7,6.07,1.53
18/05/2010,09:08:37,155.4,44.7,6.02,1.4
18/05/2010,09:08:52,103.5,39.1,5.47,1.28
18/05/2010,09:09:07,253.9,42.3,7.34,1.68
18/05/2010,09:09:22,167.6,37.1,6.78,1.46
18/05/2010,09:09:37,133.6,30.9,6.23,1.41
18/05/2010,09:09:52,130.3,34.5,6.55,1.43
18/05/2010,09:10:07,279.1,50.5,7.5,1.36
18/05/2010,09:10:22,143.6,42.1,6.56,1.42
18/05/2010,09:10:37,207.6,53.7,8.61,1.75
18/05/2010,09:10:52,2173.1,1803.1,8.76,1.86
18/05/2010,09:11:07,180.6,42.3,8.46,1.87
18/05/2010,09:11:22,314.4,68.5,9.67,1.93
18/05/2010,09:11:37,78.5,39.4,8.6,1.98
18/05/2010,09:11:52,100.2,35.6,9.13,2.17
18/05/2010,09:12:07,69.9,34,9.57,2.16
18/05/2010,09:12:22,82.9,35,9.1,2.33
18/05/2010,09:12:37,71.6,37.1,8.95,2.45
18/05/2010,09:12:52,70,35.3,9.19,2.38
18/05/2010,09:13:07,83.3,42.9,10.08,2.51
18/05/2010,09:13:22,199,72.3,13.29,3.58
18/05/2010,09:13:37,152.4,66.4,13.01,3.38
18/05/2010,09:13:52,84.7,46.6,11.7,3.25
18/05/2010,09:14:07,52.9,32.8,10.37,2.79
18/05/2010,09:14:22,55.8,41.2,11.05,2.79
18/05/2010,09:14:37,67.6,47.2,11.26,3.04
18/05/2010,09:14:52,78.9,31.1,10.91,3
18/05/2010,09:15:07,52.6,38.8,10.98,2.76
18/05/2010,09:15:22,80.9,36.1,10.43,2.94
18/05/2010,09:15:37,130.6,61.5,11.51,2.78
18/05/2010,09:15:52,73.2,39.4,10.59,3.03
18/05/2010,09:16:07,40.4,31,10.3,2.71
18/05/2010,09:16:22,62.6,38.6,10.92,2.93
18/05/2010,09:16:37,48.4,28.7,9.91,2.87
18/05/2010,09:16:52,37.5,27.4,10.82,2.77
18/05/2010,09:17:07,53.3,38.5,11.75,3.06
18/05/2010,09:17:22,60.6,41.3,13.34,3.63
18/05/2010,09:17:37,48,31,12.08,3.18
18/05/2010,09:17:52,57.7,45.6,14.22,3.68
18/05/2010,09:18:07,81.6,41.6,14.66,3.39
18/05/2010,09:18:22,95.9,71.3,22.97,6.73
18/05/2010,09:18:37,109.5,47,19.6,4.95
18/05/2010,09:18:52,92.9,58.3,16.3,4.04
18/05/2010,09:19:07,60.7,45.4,12.34,3.34
18/05/2010,09:19:22,85.7,37.7,12.88,3.24
18/05/2010,09:19:37,78.6,42.9,12.29,3.22
18/05/2010,09:19:52,75.3,47.5,14.82,3.73
18/05/2010,09:20:07,100.7,54,14.75,3.64
18/05/2010,09:20:22,92,54.3,14.15,3.62
18/05/2010,09:20:37,63,43.2,13.07,3.54
18/05/2010,09:20:52,76,50.5,15.06,3.84
18/05/2010,09:21:07,106.7,60.3,15.54,4.21
18/05/2010,09:21:22,135.8,62.6,14.05,3.33
18/05/2010,09:21:37,75,52.1,15.67,3.73
18/05/2010,09:21:52,112.8,61.7,15.33,4.09
18/05/2010,09:22:07,130.8,60.2,14.37,3.65
18/05/2010,09:22:22,126.9,60.4,12.85,3.16
18/05/2010,09:22:37,57.4,43.1,12.86,3.31
18/05/2010,09:22:52,264.5,118.1,13.86,3.48
18/05/2010,09:23:07,254.9,118.1,14.62,3.45
18/05/2010,09:23:22,180.2,81.7,16.64,4.45
18/05/2010,09:23:37,112.8,68.2,17.3,4.2
18/05/2010,09:23:52,154.1,74.3,18.57,4.52
18/05/2010,09:24:07,110.1,62.7,12.38,3.5
18/05/2010,09:24:22,120.7,62.3,13.61,3.51
18/05/2010,09:24:37,83.5,58.3,14.23,3.76
18/05/2010,09:24:52,140.2,62,12.8,3.56
18/05/2010,09:25:07,152.8,72.8,17.05,4.77
18/05/2010,09:25:22,261.3,114.7,20.95,5.34
18/05/2010,09:25:37,810.1,303.2,27.51,6.33
18/05/2010,09:25:52,187.3,95.5,17.7,4.68
18/05/2010,09:26:07,136.6,73.1,18.81,5.16
18/05/2010,09:26:22,78.4,56.4,13.77,3.93
18/05/2010,09:26:37,115.5,52.4,13.02,3.34
18/05/2010,09:26:52,105.2,63.6,15.07,4.05
18/05/2010,09:27:07,128.4,82.3,19.16,5.29
18/05/2010,09:27:22,105.1,60.9,18.36,4.61
18/05/2010,09:27:37,82,47,14.04,3.91
18/05/2010,09:27:52,115.9,46.6,14.38,3.92
18/05/2010,09:28:07,108.1,61.4,15.53,4.79
18/05/2010,09:28:22,118.8,55.5,14.42,4.18
18/05/2010,09:28:37,141.6,67.6,15.02,3.66
18/05/2010,09:28:52,667,602.1,85.02,52.23
18/05/2010,09:29:07,110.4,76.9,21.15,5.56
18/05/2010,09:29:22,80.5,47.8,12.7,3.51
18/05/2010,09:29:37,91.6,48.9,12.76,3.78
18/05/2010,09:29:52,103.3,56.6,13.31,3.54
18/05/2010,09:30:07,87.3,48.8,12.81,3.58
18/05/2010,09:30:22,117,62.3,16.9,5.18
18/05/2010,09:30:37,90.1,66.7,17.14,4.73
18/05/2010,09:30:52,95.8,56.8,14.12,3.99
18/05/2010,09:31:07,142.1,53.2,18.96,5.88
18/05/2010,09:31:22,100,47.5,15.04,4.09
18/05/2010,09:31:37,82.5,53.2,12.7,3.33
18/05/2010,09:31:52,56.9,41.4,11.49,3
18/05/2010,09:32:07,73.7,50,12.42,3.08
18/05/2010,09:32:22,64.7,39.6,12.26,3.19
18/05/2010,09:32:37,72,48.8,14.47,3.46
18/05/2010,09:32:52,78.9,54.2,16.75,5.18
18/05/2010,09:33:07,82.8,44.6,15.16,4.05
18/05/2010,09:33:22,96.7,57.9,15.67,4.51
18/05/2010,09:33:37,75.6,43.7,11.99,3.08
18/05/2010,09:33:52,103.2,60.5,14.05,3.69
18/05/2010,09:34:07,89.7,43.1,11.7,3.16
18/05/2010,09:34:22,53.1,40.1,10.33,2.87
18/05/2010,09:34:37,87.6,43.5,11.27,2.74
18/05/2010,09:34:52,74.6,47,10.6,2.91
18/05/2010,09:35:07,84,43.8,12.2,2.99
18/05/2010,09:35:22,128,60.7,13.89,3.43
18/05/2010,09:35:37,123.1,53.2,12.98,3.15
18/05/2010,09:35:52,84.3,43.8,11.9,3.22
18/05/2010,09:36:07,37.3,33,12.52,3.13
18/05/2010,09:36:22,75.6,50.5,11.05,2.89
18/05/2010,09:36:37,64.9,35,10.2,2.86
18/05/2010,09:36:52,62.2,41,11.68,3.2
18/05/2010,09:37:07,81.1,44.8,11.35,2.61
18/05/2010,09:37:22,77.6,51.4,10.79,2.79
18/05/2010,09:37:37,80.3,49.1,10.64,3.03
18/05/2010,09:37:52,132,61,11.58,2.62
18/05/2010,09:38:07,78.1,39.4,11.4,2.83
18/05/2010,09:38:22,285.4,70,12.45,3.23
18/05/2010,09:38:37,108.9,64.5,22.01,6.58
18/05/2010,09:38:52,150.7,57.6,17.08,4.82
18/05/2010,09:39:07,105.5,55,14.33,3.72
18/05/2010,09:39:22,144.9,63.5,19.48,5.73
18/05/2010,09:39:37,105.1,64.4,19.67,5.11
18/05/2010,09:39:52,51.5,41.2,14.95,3.98
18/05/2010,09:40:07,51.6,43.4,14.56,4.07
18/05/2010,09:40:22,166.9,73.6,15.68,4.31
18/05/2010,09:40:37,88.4,54.2,16.58,4.75
18/05/2010,09:40:52,115,59.8,18.33,4.75
18/05/2010,09:41:07,121.5,66.6,17.62,5
18/05/2010,09:41:22,95.1,47.6,15.21,4.09
18/05/2010,09:41:37,111.6,64.1,15.22,3.89
18/05/2010,09:41:52,145.3,77.3,14.71,4.14
18/05/2010,09:42:07,63.7,48.3,13.99,3.74
18/05/2010,09:42:22,63.5,49.5,16.63,4.48
18/05/2010,09:42:37,122.1,54.7,12.53,3.41
18/05/2010,09:42:52,94.5,51.6,11.43,2.88
18/05/2010,09:43:07,111.7,52.8,12.81,3.43
18/05/2010,09:43:22,109.9,58.3,17.65,4.96
18/05/2010,09:43:37,163.7,82.2,21.48,5.91
18/05/2010,09:43:52,123.4,69.6,18.4,5.5
18/05/2010,09:44:07,86.4,56,16.3,4.46
18/05/2010,09:44:22,79,50.8,14.97,3.87
18/05/2010,09:44:37,104.8,59.3,17.14,4.99
18/05/2010,09:44:52,103.2,82.4,26.59,7.88
18/05/2010,09:45:07,100.7,62.6,16.9,4.62
18/05/2010,09:45:22,121.5,77.1,20.74,6.27
18/05/2010,09:45:37,114,71.5,22.35,5.9
18/05/2010,09:45:52,160.2,113.4,34.85,11.58
18/05/2010,09:46:07,83.3,57,16.16,4.79
18/05/2010,09:46:22,70,46.7,11.41,3.13
18/05/2010,09:46:37,47.8,36,12.22,3.66
18/05/2010,09:46:52,56.2,39.4,11.15,2.99
18/05/2010,09:47:07,74.1,45.2,11.6,3.23
18/05/2010,09:47:22,106.6,63.9,14.2,3.85
18/05/2010,09:47:37,107.9,58.6,17.9,4.86
18/05/2010,09:47:52,194.6,115.8,22.7,6.56
18/05/2010,09:48:07,412.8,172.1,29.19,8.03
18/05/2010,09:48:22,224.9,104,20.37,5.98
18/05/2010,09:48:37,185.1,98.1,27.61,8.25
18/05/2010,09:48:52,91.3,61.9,21.59,6.39
18/05/2010,09:49:07,87,60.7,15.96,4.74
18/05/2010,09:49:22,109.8,68.2,17.82,5.19
18/05/2010,09:49:37,87.3,55.9,14.15,3.81
18/05/2010,09:49:52,103.1,68.4,18.43,5.06
18/05/2010,09:50:07,113.5,69.2,18.84,5.31
18/05/2010,09:50:22,146.1,74.5,19.67,5.64
18/05/2010,09:50:37,117.2,78.1,21.22,5.77
18/05/2010,09:50:52,638.5,354.4,60.01,17
18/05/2010,09:51:07,181,93.2,18.86,5.39
18/05/2010,09:51:22,133,92.4,22.2,6.85
18/05/2010,09:51:37,95.2,66.6,20.66,5.23
18/05/2010,09:51:52,99.4,71.9,20.35,5.95
18/05/2010,09:52:07,107.4,61.4,17.53,4.76
18/05/2010,09:52:22,67.8,46.3,12.8,4.51
18/05/2010,09:52:37,121.9,69.9,16.59,4.72
18/05/2010,09:52:52,117.9,78.1,26.19,8.09
18/05/2010,09:53:07,83.5,62,17.11,4.88
18/05/2010,09:53:22,78.4,50.8,14.37,4.19
18/05/2010,09:53:37,161.1,91.9,22.44,7.2
18/05/2010,09:53:52,155.1,85.3,26.04,8.83
18/05/2010,09:54:07,191.2,76.9,18.02,4.99
18/05/2010,09:54:22,61.3,49.7,13.32,3.71
18/05/2010,09:54:37,121.4,55.7,13.84,3.69
18/05/2010,09:54:52,79.7,53.2,14.09,3.95
18/05/2010,09:55:07,85.7,35.8,11.02,3.06
18/05/2010,09:55:22,134.2,64.2,13.91,3.66
18/05/2010,09:55:37,104.1,49.4,11.87,3.38
18/05/2010,09:55:52,157,82.3,16.56,4.28
18/05/2010,09:56:07,115.2,68.1,12.83,3.13
18/05/2010,09:56:22,136.6,50.2,9.66,2.34
18/05/2010,09:56:37,70.5,36.9,9.39,2.14
18/05/2010,09:56:52,46.4,34.1,8.62,2.23
18/05/2010,09:57:07,90.5,56.7,10.31,2.55
18/05/2010,09:57:22,65.4,37.8,9.95,2.49
18/05/2010,09:57:37,59.2,41.5,8.86,2.21
18/05/2010,09:57:52,78.1,38.8,9.62,2.31
18/05/2010,09:58:07,237.7,107.9,14.28,2.98
18/05/2010,09:58:22,401.3,98.8,26.05,7.55
18/05/2010,09:58:37,264.9,102.4,18.08,4.28
18/05/2010,09:58:52,117.1,59.1,10.47,2.83
18/05/2010,09:59:07,129.4,37.6,9.41,2.77
18/05/2010,09:59:22,67,40.3,8.69,1.99
