TimeStamp,time,TotalPM,PM10,PM2.5,PM1,particles_A,P,particles
10/05/2010,08:49:06,170.2,40.7,8.2,1.6, , , 
10/05/2010,08:49:21,175.2,39.9,7.76,1.51, , , 
10/05/2010,08:49:36,134.8,38.9,8.28,1.59, , , 
10/05/2010,08:49:51,287.7,57.1,8.09,1.55, , , 
10/05/2010,08:50:06,817.6,494.1,7.49,1.51, , , 
10/05/2010,08:50:21,176.7,29.4,7.06,1.36, , , 
10/05/2010,08:50:36,178,35.5,7.14,1.44, , , 
10/05/2010,08:50:51,267.4,42.9,7.51,1.42, , , 
10/05/2010,08:51:06,334.5,65.3,8.48,1.85, , , 
10/05/2010,08:51:21,316,81.9,8.94,1.81, , , 
10/05/2010,08:51:36,651.5,125.1,11.41,1.89, , , 
10/05/2010,08:51:51,131.5,38.5,6.75,1.35, , , 
10/05/2010,08:52:06,20.7,16.7,5.71,1.28, , , 
10/05/2010,08:52:21,36.1,22.8,5.92,1.23, , , 
10/05/2010,08:52:36,52,20.2,6.11,1.44, , , 
10/05/2010,08:52:51,24.3,19.2,6.13,1.09, , , 
10/05/2010,08:53:06,56.1,19.1,6.48,1.37, , , 
10/05/2010,08:53:21,253.9,62.9,7.62,1.54, , , 
10/05/2010,08:53:36,72.1,26.7,5.74,1.27, , , 
10/05/2010,08:53:51,54,27.5,6.69,1.27, , , 
10/05/2010,08:54:06,40.4,22.8,7.06,1.21, , , 
10/05/2010,08:54:21,16.1,14.2,5.9,1.19, , , 
10/05/2010,08:54:36,76.7,22.7,6.21,1.31, , , 
10/05/2010,08:54:51,24.2,17.5,5.65,1.19, , , 
10/05/2010,08:55:06,26.8,20.3,5.58,1.12, , , 
10/05/2010,08:55:21,38.4,20.7,6.33,1.25, , , 
10/05/2010,08:55:36,78.9,27.4,6.21,1.31, , , 
10/05/2010,08:55:51,26.6,13.1,6.36,1.25, , , 
10/05/2010,08:56:06,31.4,24.5,5.22,1.09, , , 
10/05/2010,08:56:21,20.2,14.5,5.76,1.16, , , 
10/05/2010,08:56:36,51.8,19.5,5.63,1.11, , , 
10/05/2010,08:56:51,28.9,22,6.71,1.25, , , 
10/05/2010,08:57:06,18.8,15.7,4.89,1.2, , , 
10/05/2010,08:57:21,44.1,22,5.44,1.08, , , 
10/05/2010,08:57:36,85.6,32.4,5.91,1.21, , , 
10/05/2010,08:57:51,154,47.4,6.68,1.41, , , 
10/05/2010,08:58:06,41.7,20.9,5.58,1.17, , , 
10/05/2010,08:58:21,47.7,19.4,6.06,1.34, , , 
