TimeStamp,time,totalparticle,PM10,PM2.5,PM1,particles_A,P,particles
18/05/2010,17:57:17,35.1,10.2,4.86,.96, , , 
18/05/2010,17:57:32,39.9,12.3,4.84,1.05, , , 
18/05/2010,17:57:47,44.8,14.7,4.57,.85, , , 
18/05/2010,17:58:02,15.7,13.8,4.08,.91, , , 
18/05/2010,17:58:17,15.4,12.8,4.9,1.02, , , 
18/05/2010,17:58:32,53.9,20,4.61,.91, , , 
18/05/2010,17:58:47,15.2,12.6,4.24,.9, , , 
18/05/2010,17:59:02,33,15.5,4.79,.88, , , 
18/05/2010,17:59:17,39.8,12.3,4.6,.91, , , 
18/05/2010,17:59:32,25.5,11.7,4.9,.92, , , 
18/05/2010,17:59:47,16.6,14.5,4.3,.86, , , 
18/05/2010,18:00:02,42,13.2,4.67,1.13, , , 
18/05/2010,18:00:17,47.3,20,5.04,.94, , , 
18/05/2010,18:00:32,34.4,16.8,5.15,1.06, , , 
18/05/2010,18:00:47,67.3,14.1,4.82,1.05, , , 
18/05/2010,18:01:02,31.3,14.2,4.98,.87, , , 
18/05/2010,18:01:17,48.1,15.6,5.23,.97, , , 
18/05/2010,18:01:32,72.4,13.2,4.76,.94, , , 
18/05/2010,18:01:47,55.9,13.5,5.04,1.01, , , 
18/05/2010,18:02:02,17.3,14.2,4.74,.9, , , 
18/05/2010,18:02:17,67.3,16.1,4.87,1.01, , , 
18/05/2010,18:02:32,49.5,15,4.79,.93, , , 
18/05/2010,18:02:47,18.1,14.7,4.91,1.01, , , 
18/05/2010,18:03:02,16.2,11.8,4.37,.93, , , 
18/05/2010,18:03:17,16.3,13.8,4.34,1, , , 
18/05/2010,18:03:32,51.6,10,4.58,1.01, , , 
18/05/2010,18:03:47,34.9,14.9,4.61,.99, , , 
18/05/2010,18:04:02,30.4,13,4.38,.89, , , 
18/05/2010,18:04:17,20.9,10.1,4.41,.95, , , 
18/05/2010,18:04:32,37,15.9,4.86,1.02, , , 
18/05/2010,18:04:47,21.5,8,4.4,.89, , , 
18/05/2010,18:05:02,26.1,17.1,4.47,.87, , , 
18/05/2010,18:05:17,47.2,14.5,4.72,.95, , , 
18/05/2010,18:05:32,19.5,16.4,4.18,.96, , , 
18/05/2010,18:05:47,19.1,15.3,4.19,.98, , , 
18/05/2010,18:06:02,8.2,7.9,4.5,.96, , , 
18/05/2010,18:06:17,24.4,12.9,4.6,.99, , , 
18/05/2010,18:06:32,30,18.1,5.24,.99, , , 
