TimeStamp,time,totalPM,PM10,PM2.5,PM1,particles_A,P,particles
20/05/2010,08:07:47,229.6,69.2,17.7,6.01, , , 
20/05/2010,08:08:02,280.4,72.4,17.42,5.83, , , 
20/05/2010,08:08:17,174.5,68.1,17.77,6.12, , , 
20/05/2010,08:08:32,164.6,60.3,17.34,5.86, , , 
20/05/2010,08:08:47,175.6,57,14.39,5.37, , , 
20/05/2010,08:09:02,101.7,45.4,14.47,4.84, , , 
20/05/2010,08:09:17,164.2,74.4,14.61,4.98, , , 
20/05/2010,08:09:32,195.8,61.8,15.75,4.92, , , 
20/05/2010,08:09:47,178.3,63.2,13.79,4.25, , , 
20/05/2010,08:10:02,152.7,63.1,14.51,4.08, , , 
20/05/2010,08:10:17,189.1,64.5,14.2,3.95, , , 
20/05/2010,08:10:32,185.6,57.4,12.19,3.85, , , 
20/05/2010,08:10:47,199.7,55.6,10.83,3.49, , , 
20/05/2010,08:11:02,149.1,55.7,11.58,3.8, , , 
20/05/2010,08:11:17,237.5,62.8,12.31,3.52, , , 
20/05/2010,08:11:32,201.7,77.4,12.46,3.69, , , 
20/05/2010,08:11:47,148.1,48.6,11.53,3.42, , , 
20/05/2010,08:12:02,162.6,74.3,11.69,3.45, , , 
20/05/2010,08:12:17,132.4,61.3,11.14,3.18, , , 
20/05/2010,08:12:32,176.9,69.8,12.77,3.4, , , 
20/05/2010,08:12:47,156.4,67.3,11.83,3.27, , , 
20/05/2010,08:13:02,179.7,64.2,9.94,2.81, , , 
20/05/2010,08:13:17,231.2,78.4,11.09,3.04, , , 
20/05/2010,08:13:32,223.7,77.8,11.66,2.9, , , 
20/05/2010,08:13:47,215.8,67.6,11.62,3.37, , , 
20/05/2010,08:14:02,140.3,67.3,10.96,3.17, , , 
20/05/2010,08:14:17,145.2,55.7,10.57,3.25, , , 
20/05/2010,08:14:32,124.4,59.6,9.85,2.8, , , 
20/05/2010,08:14:47,188.1,62,11.02,2.83, , , 
20/05/2010,08:15:02,144.4,63.1,11.71,3.21, , , 
20/05/2010,08:15:17,178.8,55.5,10.07,2.59, , , 
20/05/2010,08:15:32,161.2,53.5,10.94,3.12, , , 
20/05/2010,08:15:47,224.7,70.3,10.89,3.3, , , 
20/05/2010,08:16:02,137.1,56.6,11.47,2.94, , , 
20/05/2010,08:16:17,213.7,65.4,9.88,2.85, , , 
20/05/2010,08:16:32,185,61.4,11.5,2.99, , , 
20/05/2010,08:16:47,146.2,54.1,10.81,2.95, , , 
20/05/2010,08:17:02,146.8,51.9,9.59,2.59, , , 
20/05/2010,08:17:17,196.3,55.7,9.54,2.8, , , 
20/05/2010,08:17:32,165.2,53.8,10.16,2.92, , , 
20/05/2010,08:17:47,131.7,53.8,10.21,2.72, , , 
20/05/2010,08:18:02,186,60.1,10.33,2.74, , , 
20/05/2010,08:18:17,168.7,52.6,10.19,2.8, , , 
20/05/2010,08:18:32,150.2,65.6,9.22,2.88, , , 
20/05/2010,08:18:47,99.4,44.3,9.39,2.64, , , 
20/05/2010,08:19:02,223.7,57.5,9.76,2.77, , , 
20/05/2010,08:19:17,89.2,51.1,10.23,2.63, , , 
20/05/2010,08:19:32,118.4,60.9,11.17,2.82, , , 
20/05/2010,08:19:47,187.6,65.7,9.66,2.69, , , 
20/05/2010,08:20:02,113.6,51.4,9.9,2.8, , , 
20/05/2010,08:20:17,180.8,58.6,10.43,2.82, , , 
20/05/2010,08:20:32,174.9,54.6,10.67,2.83, , , 
20/05/2010,08:20:47,137.5,66.6,9.8,2.62, , , 
20/05/2010,08:21:02,133.9,54.7,9.99,2.62, , , 
20/05/2010,08:21:17,162.1,43.2,10.41,2.62, , , 
20/05/2010,08:21:32,222.9,68.1,10.86,2.71, , , 
20/05/2010,08:21:47,135.9,56,10.16,2.76, , , 
20/05/2010,08:22:02,133.1,64.1,9.7,2.75, , , 
20/05/2010,08:22:17,136.6,46.2,10.49,2.68, , , 
20/05/2010,08:22:32,116.5,54,10.49,2.77, , , 
20/05/2010,08:22:47,174.5,58.8,10.09,2.53, , , 
20/05/2010,08:23:02,111.3,52.4,9.57,2.69, , , 
20/05/2010,08:23:17,156.7,70.1,10.83,2.97, , , 
20/05/2010,08:23:32,181,57.8,10.45,2.74, , , 
20/05/2010,08:23:47,107.7,52.8,9.97,2.58, , , 
20/05/2010,08:24:02,128.1,55.8,9.78,2.53, , , 
20/05/2010,08:24:17,73.9,49.5,9.69,2.6, , , 
20/05/2010,08:24:32,175.9,54.3,10.4,2.91, , , 
20/05/2010,08:24:47,215.8,71.4,11.92,2.92, , , 
20/05/2010,08:25:02,152.2,58.2,9.8,2.74, , , 
20/05/2010,08:25:17,193.9,60,9.5,2.56, , , 
20/05/2010,08:25:32,191.2,71.9,9.69,2.49, , , 
20/05/2010,08:25:47,169.6,53.1,10.27,2.46, , , 
20/05/2010,08:26:02,174.9,60.9,9.91,2.65, , , 
20/05/2010,08:26:17,229.2,61.7,10.06,2.8, , , 
20/05/2010,08:26:32,92.3,53.9,9.72,2.48, , , 
20/05/2010,08:26:47,166.7,61.6,10,2.65, , , 
20/05/2010,08:27:02,176.3,66.9,10.87,2.88, , , 
20/05/2010,08:27:17,142,58.6,9.59,2.64, , , 
20/05/2010,08:27:32,102.4,51.2,9.4,2.37, , , 
20/05/2010,08:27:47,104.5,59.1,9.67,2.54, , , 
20/05/2010,08:28:02,163.4,51.1,9.23,2.37, , , 
20/05/2010,08:28:17,108.7,46.7,7.93,2.22, , , 
20/05/2010,08:28:32,190.8,66.1,11.33,2.8, , , 
20/05/2010,08:28:47,141.1,64,8.87,2.55, , , 
20/05/2010,08:29:02,98.9,50.8,8.53,2.43, , , 
20/05/2010,08:29:17,141.4,46.5,8.55,2.43, , , 
20/05/2010,08:29:32,136.2,52.8,8.64,2.42, , , 
20/05/2010,08:29:47,76.7,37,8.24,2.46, , , 
20/05/2010,08:30:02,116.6,44.5,8.38,2.31, , , 
20/05/2010,08:30:17,117,52.1,8.5,2.22, , , 
20/05/2010,08:30:32,87,40,7.92,2.33, , , 
20/05/2010,08:30:47,76.9,28.9,7.98,2.3, , , 
20/05/2010,08:31:02,116,48.2,7.8,2.27, , , 
20/05/2010,08:31:17,135.8,37.7,7.74,2.07, , , 
20/05/2010,08:31:32,45.8,34,7.79,2.28, , , 
20/05/2010,08:31:47,86.1,41.6,7.62,1.92, , , 
20/05/2010,08:32:02,97.6,37.9,6.5,2.19, , , 
20/05/2010,08:32:17,102.4,34.2,7.38,2.05, , , 
20/05/2010,08:32:32,132.7,50.2,8.01,2.26, , , 
20/05/2010,08:32:47,124.7,32.1,7.26,1.99, , , 
20/05/2010,08:33:02,89.6,32.1,6.61,2.02, , , 
20/05/2010,08:33:17,103.2,39.4,7.93,2.19, , , 
20/05/2010,08:33:32,97.5,34.6,7.27,2.07, , , 
20/05/2010,08:33:47,68.1,38.8,7.63,2.02, , , 
20/05/2010,08:34:02,126,33.2,6.73,2.21, , , 
20/05/2010,08:34:17,56.8,34.4,7.71,2.02, , , 
20/05/2010,08:34:32,77.4,29.8,6.99,1.98, , , 
