time, lat, lon, pm10
010/05/20T08:07:35,51.531644,-0.111036,72.4
010/05/20T08:08:14,51.531668,-0.111263,68.1
010/05/20T08:08:21,51.531656,-0.111502,68.1
010/05/20T08:08:29,51.531618,-0.111731,60.3
010/05/20T08:08:40,51.531568,-0.111946,57
010/05/20T08:08:54,51.531525,-0.112158,57
010/05/20T08:09:09,51.531471,-0.112392,45.4
010/05/20T08:09:22,51.531440,-0.112615,74.4
010/05/20T08:09:24,51.531431,-0.112683,74.4
010/05/20T08:09:30,51.531411,-0.112901,61.8
010/05/20T08:09:37,51.531402,-0.113136,61.8
010/05/20T08:09:52,51.531389,-0.113467,63.2
010/05/20T08:10:01,51.531384,-0.113540,63.1
010/05/20T08:10:14,51.531338,-0.113824,64.5
010/05/20T08:10:25,51.531295,-0.113986,57.4
010/05/20T08:10:50,51.531294,-0.114210,55.6
010/05/20T08:10:51,51.531299,-0.114224,55.6
010/05/20T08:11:04,51.531356,-0.114512,55.7
010/05/20T08:11:17,51.531360,-0.114759,62.8
010/05/20T08:11:30,51.531358,-0.114990,77.4
010/05/20T08:11:37,51.531329,-0.115219,77.4
010/05/20T08:11:48,51.531302,-0.115433,48.6
010/05/20T08:11:57,51.531276,-0.115704,74.3
010/05/20T08:12:10,51.531243,-0.115987,61.3
010/05/20T08:12:18,51.531229,-0.116296,61.3
010/05/20T08:12:23,51.531219,-0.116529,61.3
010/05/20T08:12:28,51.531193,-0.116766,69.8
010/05/20T08:12:33,51.531185,-0.117027,69.8
010/05/20T08:12:45,51.531177,-0.117212,67.3
010/05/20T08:13:02,51.531125,-0.117450,64.2
010/05/20T08:13:14,51.531092,-0.117686,78.4
010/05/20T08:13:23,51.531077,-0.117954,78.4
010/05/20T08:13:41,51.531107,-0.118395,67.6
010/05/20T08:13:48,51.531124,-0.118570,67.6
010/05/20T08:14:01,51.531165,-0.118852,67.3
010/05/20T08:14:08,51.531170,-0.119072,67.3
010/05/20T08:14:18,51.531110,-0.119280,55.7
010/05/20T08:14:23,51.531094,-0.119351,55.7
010/05/20T08:14:33,51.531013,-0.119541,59.6
010/05/20T08:14:41,51.530933,-0.119771,62
010/05/20T08:14:49,51.530846,-0.119972,62
010/05/20T08:15:01,51.530817,-0.120212,63.1
010/05/20T08:15:33,51.530765,-0.120811,53.5
010/05/20T08:15:41,51.530782,-0.120972,70.3
010/05/20T08:15:54,51.530801,-0.121279,70.3
010/05/20T08:15:59,51.530802,-0.121335,56.6
010/05/20T08:16:06,51.530839,-0.121622,56.6
010/05/20T08:16:37,51.530818,-0.122109,61.4
010/05/20T08:16:46,51.530818,-0.122118,54.1
010/05/20T08:17:17,51.530760,-0.122330,55.7
010/05/20T08:17:48,51.530743,-0.122556,53.8
010/05/20T08:17:48,51.530746,-0.122566,53.8
010/05/20T08:18:38,51.531007,-0.122414,65.6
010/05/20T08:18:52,51.531278,-0.122352,44.3
010/05/20T08:19:17,51.531548,-0.122296,51.1
010/05/20T08:19:48,51.532005,-0.122182,65.7
010/05/20T08:19:51,51.532005,-0.122182,65.7
010/05/20T08:20:06,51.532288,-0.122198,51.4
010/05/20T08:20:23,51.532564,-0.122219,58.6
010/05/20T08:20:26,51.532564,-0.122219,54.6
010/05/20T08:20:33,51.532848,-0.122246,54.6
010/05/20T08:20:38,51.533054,-0.122276,54.6
010/05/20T08:20:48,51.533190,-0.122386,66.6
010/05/20T08:20:57,51.533343,-0.122398,54.7
010/05/20T08:20:58,51.533347,-0.122400,54.7
010/05/20T08:21:17,51.533546,-0.122457,43.2
010/05/20T08:21:24,51.533688,-0.122382,43.2
010/05/20T08:21:31,51.533818,-0.122320,68.1
010/05/20T08:21:38,51.533960,-0.122261,68.1
010/05/20T08:21:47,51.534098,-0.122214,56
