time, lat, lon, pm2.5
010/05/20T08:07:35,51.531644,-0.111036,17.42
010/05/20T08:08:14,51.531668,-0.111263,17.77
010/05/20T08:08:21,51.531656,-0.111502,17.77
010/05/20T08:08:29,51.531618,-0.111731,17.34
010/05/20T08:08:40,51.531568,-0.111946,14.39
010/05/20T08:08:54,51.531525,-0.112158,14.39
010/05/20T08:09:09,51.531471,-0.112392,14.47
010/05/20T08:09:22,51.531440,-0.112615,14.61
010/05/20T08:09:24,51.531431,-0.112683,14.61
010/05/20T08:09:30,51.531411,-0.112901,15.75
010/05/20T08:09:37,51.531402,-0.113136,15.75
010/05/20T08:09:52,51.531389,-0.113467,13.79
010/05/20T08:10:01,51.531384,-0.113540,14.51
010/05/20T08:10:14,51.531338,-0.113824,14.2
010/05/20T08:10:25,51.531295,-0.113986,12.19
010/05/20T08:10:50,51.531294,-0.114210,10.83
010/05/20T08:10:51,51.531299,-0.114224,10.83
010/05/20T08:11:04,51.531356,-0.114512,11.58
010/05/20T08:11:17,51.531360,-0.114759,12.31
010/05/20T08:11:30,51.531358,-0.114990,12.46
010/05/20T08:11:37,51.531329,-0.115219,12.46
010/05/20T08:11:48,51.531302,-0.115433,11.53
010/05/20T08:11:57,51.531276,-0.115704,11.69
010/05/20T08:12:10,51.531243,-0.115987,11.14
010/05/20T08:12:18,51.531229,-0.116296,11.14
010/05/20T08:12:23,51.531219,-0.116529,11.14
010/05/20T08:12:28,51.531193,-0.116766,12.77
010/05/20T08:12:33,51.531185,-0.117027,12.77
010/05/20T08:12:45,51.531177,-0.117212,11.83
010/05/20T08:13:02,51.531125,-0.117450,9.94
010/05/20T08:13:14,51.531092,-0.117686,11.09
010/05/20T08:13:23,51.531077,-0.117954,11.09
010/05/20T08:13:41,51.531107,-0.118395,11.62
010/05/20T08:13:48,51.531124,-0.118570,11.62
010/05/20T08:14:01,51.531165,-0.118852,10.96
010/05/20T08:14:08,51.531170,-0.119072,10.96
010/05/20T08:14:18,51.531110,-0.119280,10.57
010/05/20T08:14:23,51.531094,-0.119351,10.57
010/05/20T08:14:33,51.531013,-0.119541,9.85
010/05/20T08:14:41,51.530933,-0.119771,11.02
010/05/20T08:14:49,51.530846,-0.119972,11.02
010/05/20T08:15:01,51.530817,-0.120212,11.71
010/05/20T08:15:33,51.530765,-0.120811,10.94
010/05/20T08:15:41,51.530782,-0.120972,10.89
010/05/20T08:15:54,51.530801,-0.121279,10.89
010/05/20T08:15:59,51.530802,-0.121335,11.47
010/05/20T08:16:06,51.530839,-0.121622,11.47
010/05/20T08:16:37,51.530818,-0.122109,11.5
010/05/20T08:16:46,51.530818,-0.122118,10.81
010/05/20T08:17:17,51.530760,-0.122330,9.54
010/05/20T08:17:48,51.530743,-0.122556,10.21
010/05/20T08:17:48,51.530746,-0.122566,10.21
010/05/20T08:18:38,51.531007,-0.122414,9.22
010/05/20T08:18:52,51.531278,-0.122352,9.39
010/05/20T08:19:17,51.531548,-0.122296,10.23
010/05/20T08:19:48,51.532005,-0.122182,9.66
010/05/20T08:19:51,51.532005,-0.122182,9.66
010/05/20T08:20:06,51.532288,-0.122198,9.9
010/05/20T08:20:23,51.532564,-0.122219,10.43
010/05/20T08:20:26,51.532564,-0.122219,10.67
010/05/20T08:20:33,51.532848,-0.122246,10.67
010/05/20T08:20:38,51.533054,-0.122276,10.67
010/05/20T08:20:48,51.533190,-0.122386,9.8
010/05/20T08:20:57,51.533343,-0.122398,9.99
010/05/20T08:20:58,51.533347,-0.122400,9.99
010/05/20T08:21:17,51.533546,-0.122457,10.41
010/05/20T08:21:24,51.533688,-0.122382,10.41
010/05/20T08:21:31,51.533818,-0.122320,10.86
010/05/20T08:21:38,51.533960,-0.122261,10.86
010/05/20T08:21:47,51.534098,-0.122214,10.16
