time, lat, lon, total
010/05/20T08:07:35,51.531644,-0.111036,280.4
010/05/20T08:08:14,51.531668,-0.111263,174.5
010/05/20T08:08:21,51.531656,-0.111502,174.5
010/05/20T08:08:29,51.531618,-0.111731,164.6
010/05/20T08:08:40,51.531568,-0.111946,175.6
010/05/20T08:08:54,51.531525,-0.112158,175.6
010/05/20T08:09:09,51.531471,-0.112392,101.7
010/05/20T08:09:22,51.531440,-0.112615,164.2
010/05/20T08:09:24,51.531431,-0.112683,164.2
010/05/20T08:09:30,51.531411,-0.112901,195.8
010/05/20T08:09:37,51.531402,-0.113136,195.8
010/05/20T08:09:52,51.531389,-0.113467,178.3
010/05/20T08:10:01,51.531384,-0.113540,152.7
010/05/20T08:10:14,51.531338,-0.113824,189.1
010/05/20T08:10:25,51.531295,-0.113986,185.6
010/05/20T08:10:50,51.531294,-0.114210,199.7
010/05/20T08:10:51,51.531299,-0.114224,199.7
010/05/20T08:11:04,51.531356,-0.114512,149.1
010/05/20T08:11:17,51.531360,-0.114759,237.5
010/05/20T08:11:30,51.531358,-0.114990,201.7
010/05/20T08:11:37,51.531329,-0.115219,201.7
010/05/20T08:11:48,51.531302,-0.115433,148.1
010/05/20T08:11:57,51.531276,-0.115704,162.6
010/05/20T08:12:10,51.531243,-0.115987,132.4
010/05/20T08:12:18,51.531229,-0.116296,132.4
010/05/20T08:12:23,51.531219,-0.116529,132.4
010/05/20T08:12:28,51.531193,-0.116766,176.9
010/05/20T08:12:33,51.531185,-0.117027,176.9
010/05/20T08:12:45,51.531177,-0.117212,156.4
010/05/20T08:13:02,51.531125,-0.117450,179.7
010/05/20T08:13:14,51.531092,-0.117686,231.2
010/05/20T08:13:23,51.531077,-0.117954,231.2
010/05/20T08:13:41,51.531107,-0.118395,215.8
010/05/20T08:13:48,51.531124,-0.118570,215.8
010/05/20T08:14:01,51.531165,-0.118852,140.3
010/05/20T08:14:08,51.531170,-0.119072,140.3
010/05/20T08:14:18,51.531110,-0.119280,145.2
010/05/20T08:14:23,51.531094,-0.119351,145.2
010/05/20T08:14:33,51.531013,-0.119541,124.4
010/05/20T08:14:41,51.530933,-0.119771,188.1
010/05/20T08:14:49,51.530846,-0.119972,188.1
010/05/20T08:15:01,51.530817,-0.120212,144.4
010/05/20T08:15:33,51.530765,-0.120811,161.2
010/05/20T08:15:41,51.530782,-0.120972,224.7
010/05/20T08:15:54,51.530801,-0.121279,224.7
010/05/20T08:15:59,51.530802,-0.121335,137.1
010/05/20T08:16:06,51.530839,-0.121622,137.1
010/05/20T08:16:37,51.530818,-0.122109,185
010/05/20T08:16:46,51.530818,-0.122118,146.2
010/05/20T08:17:17,51.530760,-0.122330,196.3
010/05/20T08:17:48,51.530743,-0.122556,131.7
010/05/20T08:17:48,51.530746,-0.122566,131.7
010/05/20T08:18:38,51.531007,-0.122414,150.2
010/05/20T08:18:52,51.531278,-0.122352,99.4
010/05/20T08:19:17,51.531548,-0.122296,89.2
010/05/20T08:19:48,51.532005,-0.122182,187.6
010/05/20T08:19:51,51.532005,-0.122182,187.6
010/05/20T08:20:06,51.532288,-0.122198,113.6
010/05/20T08:20:23,51.532564,-0.122219,180.8
010/05/20T08:20:26,51.532564,-0.122219,174.9
010/05/20T08:20:33,51.532848,-0.122246,174.9
010/05/20T08:20:38,51.533054,-0.122276,174.9
010/05/20T08:20:48,51.533190,-0.122386,137.5
010/05/20T08:20:57,51.533343,-0.122398,133.9
010/05/20T08:20:58,51.533347,-0.122400,133.9
010/05/20T08:21:17,51.533546,-0.122457,162.1
010/05/20T08:21:24,51.533688,-0.122382,162.1
010/05/20T08:21:31,51.533818,-0.122320,222.9
010/05/20T08:21:38,51.533960,-0.122261,222.9
010/05/20T08:21:47,51.534098,-0.122214,135.9
