time, lat, lon, total
010/05/20T18:03:27,51.534719,-0.122346,20.3
010/05/20T18:03:28,51.534719,-0.122346,20.3
010/05/20T18:03:45,51.534194,-0.122201,49.3
010/05/20T18:04:09,51.534085,-0.122305,53.8
010/05/20T18:04:18,51.533940,-0.122295,23.1
010/05/20T18:04:23,51.533857,-0.122294,23.1
010/05/20T18:04:32,51.533715,-0.122301,53.1
010/05/20T18:04:34,51.533695,-0.122302,53.1
010/05/20T18:04:43,51.533562,-0.122230,13.9
010/05/20T18:05:04,51.533500,-0.121937,28
010/05/20T18:05:25,51.533484,-0.121360,38.2
010/05/20T18:05:42,51.533479,-0.121020,57.3
010/05/20T18:05:52,51.533485,-0.120773,57.3
010/05/20T18:06:12,51.533469,-0.120318,20
010/05/20T18:06:35,51.533460,-0.119714,74.4
010/05/20T18:06:49,51.533466,-0.119434,43.5
010/05/20T18:07:01,51.533468,-0.119176,48
010/05/20T18:07:06,51.533464,-0.119049,48
010/05/20T18:07:16,51.533411,-0.118838,22.9
010/05/20T18:07:51,51.533154,-0.119144,15.5
010/05/20T18:08:15,51.532941,-0.119422,15.4
010/05/20T18:08:21,51.532879,-0.119493,15.4
010/05/20T18:08:45,51.532677,-0.119863,31.2
010/05/20T18:09:04,51.532496,-0.120167,49.7
010/05/20T18:09:13,51.532335,-0.120371,42
010/05/20T18:09:16,51.532335,-0.120371,42
010/05/20T18:09:22,51.532136,-0.120542,42
010/05/20T18:09:31,51.531983,-0.120672,19.6
010/05/20T18:09:37,51.531845,-0.120743,19.6
010/05/20T18:09:43,51.531705,-0.120808,13.8
010/05/20T18:09:50,51.531504,-0.120891,13.8
010/05/20T18:09:57,51.531375,-0.120923,18.6
010/05/20T18:10:04,51.531240,-0.120951,18.6
010/05/20T18:10:12,51.531096,-0.120983,21.5
010/05/20T18:10:23,51.530924,-0.121016,21.5
010/05/20T18:10:26,51.530916,-0.121005,57.5
010/05/20T18:10:36,51.530828,-0.120732,57.5
010/05/20T18:10:48,51.530792,-0.120477,29.4
010/05/20T18:10:53,51.530794,-0.120342,29.4
010/05/20T18:11:00,51.530796,-0.120113,47.9
010/05/20T18:11:28,51.530835,-0.119701,32.2
010/05/20T18:11:36,51.530880,-0.119450,32.2
010/05/20T18:11:38,51.530885,-0.119430,32.2
010/05/20T18:11:49,51.530964,-0.119082,40.7
010/05/20T18:12:03,51.531044,-0.118648,40.6
010/05/20T18:12:10,51.531096,-0.118434,21.4
010/05/20T18:12:29,51.531170,-0.117931,33.1
010/05/20T18:12:38,51.531166,-0.117702,33.1
010/05/20T18:12:52,51.531091,-0.117431,30
010/05/20T18:12:58,51.531111,-0.117314,43.3
010/05/20T18:13:05,51.531132,-0.117070,43.3
010/05/20T18:13:14,51.531104,-0.116929,38.2
010/05/20T18:13:27,51.531082,-0.116696,12.3
010/05/20T18:13:35,51.531098,-0.116442,12.3
010/05/20T18:13:42,51.531112,-0.116221,23.2
010/05/20T18:13:49,51.531132,-0.115998,23.2
010/05/20T18:13:56,51.531183,-0.115832,30.3
010/05/20T18:14:05,51.531230,-0.115615,30.3
010/05/20T18:14:13,51.531276,-0.115360,44
010/05/20T18:14:24,51.531318,-0.115146,44
010/05/20T18:14:32,51.531350,-0.114936,22.7
010/05/20T18:14:43,51.531365,-0.114684,9.2
010/05/20T18:14:50,51.531404,-0.114467,9.2
010/05/20T18:14:59,51.531440,-0.114242,19.9
010/05/20T18:15:08,51.531467,-0.114028,19.9
010/05/20T18:15:21,51.531485,-0.113716,26.2
010/05/20T18:15:33,51.531475,-0.113483,36.6
010/05/20T18:15:45,51.531475,-0.113210,9.1
010/05/20T18:15:57,51.531504,-0.112995,22.1
010/05/20T18:16:02,51.531504,-0.112923,22.1
010/05/20T18:16:15,51.531529,-0.112637,34.7
010/05/20T18:16:23,51.531509,-0.112412,34.7
010/05/20T18:16:32,51.531478,-0.112193,20.2
010/05/20T18:16:42,51.531436,-0.111984,26.9
010/05/20T18:16:50,51.531455,-0.111833,26.9
010/05/20T18:17:00,51.531487,-0.111588,10.6
010/05/20T18:17:01,51.531490,-0.111572,10.6
010/05/20T18:17:23,51.531594,-0.111316,30.8
010/05/20T18:18:08,51.531710,-0.111194,15.1
010/05/20T18:18:10,51.531717,-0.111175,37.2
010/05/20T18:18:20,51.531740,-0.110957,37.2
010/05/20T18:18:31,51.531772,-0.110687,12.6
010/05/20T18:18:41,51.531785,-0.110467,13.6
010/05/20T18:18:55,51.531833,-0.110200,23.4
010/05/20T18:18:56,51.531835,-0.110186,23.4
010/05/20T18:19:11,51.531859,-0.109901,27.2
010/05/20T18:19:20,51.531876,-0.109634,27.2
010/05/20T18:19:27,51.531920,-0.109421,7
010/05/20T18:19:34,51.531935,-0.109288,7
010/05/20T18:19:50,51.531947,-0.108976,14
010/05/20T18:19:56,51.531951,-0.108806,29.6
010/05/20T18:20:07,51.531964,-0.108573,29.6
010/05/20T18:20:17,51.531966,-0.108317,18.2
010/05/20T18:20:27,51.531963,-0.108087,26.2
010/05/20T18:20:33,51.531962,-0.107859,26.2
010/05/20T18:20:40,51.531975,-0.107641,22.7
010/05/20T18:20:49,51.531988,-0.107411,22.7
010/05/20T18:21:06,51.532023,-0.107089,21.4
010/05/20T18:21:15,51.532033,-0.106872,33.7
010/05/20T18:21:25,51.532037,-0.106638,12.6
010/05/20T18:21:26,51.532038,-0.106624,12.6
010/05/20T18:21:54,51.531988,-0.106304,30.6
010/05/20T18:22:00,51.531986,-0.106298,26.1
010/05/20T18:22:20,51.531913,-0.106106,13.8
010/05/20T18:22:21,51.531909,-0.106096,13.8
010/05/20T18:22:55,51.531879,-0.105869,9
010/05/20T18:23:00,51.531849,-0.105830,9
010/05/20T18:23:07,51.531740,-0.105652,9
010/05/20T18:23:14,51.531646,-0.105477,16.4
010/05/20T18:23:16,51.531646,-0.105477,16.4
010/05/20T18:23:23,51.531524,-0.105274,16.4
010/05/20T18:23:37,51.531452,-0.104940,10.8
010/05/20T18:23:40,51.531447,-0.104710,11.1
010/05/20T18:23:48,51.531407,-0.104502,11.1
010/05/20T18:24:02,51.531369,-0.104197,25.4
010/05/20T18:24:13,51.531318,-0.103931,48.5
010/05/20T18:24:27,51.531223,-0.103560,18.3
010/05/20T18:24:38,51.531211,-0.103337,18.3
010/05/20T18:24:43,51.531207,-0.103266,6.8
010/05/20T18:24:49,51.531165,-0.103043,6.8
010/05/20T18:25:04,51.531086,-0.102763,29.5
010/05/20T18:25:15,51.531036,-0.102516,8.1
010/05/20T18:25:25,51.530983,-0.102245,12.1
010/05/20T18:25:26,51.530971,-0.102200,12.1
010/05/20T18:25:32,51.530883,-0.102022,12.1
010/05/20T18:26:01,51.530779,-0.101875,18.5
010/05/20T18:26:34,51.530724,-0.101638,26.8
010/05/20T18:26:42,51.530711,-0.101457,7.9
010/05/20T18:26:52,51.530697,-0.101232,7.9
010/05/20T18:27:04,51.530650,-0.100942,38.1
010/05/20T18:27:15,51.530582,-0.100805,15.7
010/05/20T18:27:23,51.530526,-0.100600,15.7
010/05/20T18:27:31,51.530466,-0.100316,26.1
010/05/20T18:27:38,51.530413,-0.100066,26.1
010/05/20T18:27:48,51.530339,-0.099870,13.2
010/05/20T18:27:58,51.530275,-0.099661,23.5
010/05/20T18:28:08,51.530203,-0.099440,23.5
010/05/20T18:28:18,51.530167,-0.099188,21.8
010/05/20T18:28:29,51.530124,-0.098967,24
010/05/20T18:28:36,51.530067,-0.098747,24
010/05/20T18:28:45,51.529982,-0.098550,22.8
010/05/20T18:28:53,51.529877,-0.098354,22.8
010/05/20T18:29:02,51.529801,-0.098155,5.7
010/05/20T18:29:11,51.529732,-0.097954,34
010/05/20T18:29:20,51.529689,-0.097738,34
010/05/20T18:29:28,51.529635,-0.097537,21
010/05/20T18:29:37,51.529593,-0.097324,21
010/05/20T18:29:45,51.529556,-0.097113,15.7
010/05/20T18:29:54,51.529521,-0.096902,15.7
010/05/20T18:30:06,51.529450,-0.096654,11.4
010/05/20T18:30:18,51.529384,-0.096459,14.7
010/05/20T18:30:24,51.529327,-0.096248,14.7
010/05/20T18:30:32,51.529272,-0.096043,19.6
010/05/20T18:30:39,51.529213,-0.095841,19.6
010/05/20T18:30:48,51.529161,-0.095624,13
010/05/20T18:30:58,51.529111,-0.095412,12.2
010/05/20T18:31:06,51.529077,-0.095198,12.2
010/05/20T18:31:15,51.529029,-0.094992,8.6
010/05/20T18:31:25,51.528981,-0.094758,9.2
010/05/20T18:31:34,51.528959,-0.094534,9.2
010/05/20T18:31:39,51.528956,-0.094455,9.2
010/05/20T18:31:49,51.528934,-0.094150,12.2
010/05/20T18:31:59,51.528920,-0.093932,8
010/05/20T18:32:06,51.528864,-0.093790,8
010/05/20T18:32:19,51.528788,-0.093559,12.2
010/05/20T18:32:40,51.528680,-0.093214,9.2
010/05/20T18:32:48,51.528609,-0.093016,9.2
010/05/20T18:32:51,51.528553,-0.092894,9.2
010/05/20T18:32:56,51.528471,-0.092716,6.2
010/05/20T18:33:06,51.528389,-0.092509,6.2
010/05/20T18:33:16,51.528328,-0.092295,21.4
010/05/20T18:33:20,51.528325,-0.092196,21.4
010/05/20T18:33:30,51.528314,-0.091956,15.5
010/05/20T18:33:42,51.528311,-0.091707,17.5
010/05/20T18:33:59,51.528301,-0.091448,18.5
010/05/20T18:34:05,51.528296,-0.091211,18.5
010/05/20T18:34:14,51.528266,-0.090993,9.6
010/05/20T18:34:20,51.528218,-0.090720,9.6
010/05/20T18:34:26,51.528198,-0.090425,19.6
010/05/20T18:34:30,51.528196,-0.090401,19.6
010/05/20T18:34:38,51.528162,-0.090079,19.6
010/05/20T18:34:39,51.528162,-0.090079,19.6
010/05/20T18:34:54,51.528088,-0.089825,8.9
010/05/20T18:34:56,51.528073,-0.089789,12.1
010/05/20T18:35:09,51.527963,-0.089499,12.1
010/05/20T18:35:15,51.527888,-0.089395,28.6
010/05/20T18:35:42,51.527726,-0.088999,10.5
010/05/20T18:35:54,51.527673,-0.088846,10.5
010/05/20T18:36:42,51.527935,-0.088743,8.8
010/05/20T18:36:51,51.528100,-0.088699,8.8
010/05/20T18:37:01,51.528254,-0.088667,15.3
010/05/20T18:37:06,51.528308,-0.088670,15.3
010/05/20T18:37:16,51.528501,-0.088650,9.3
010/05/20T18:37:28,51.528753,-0.088536,15.2
010/05/20T18:37:32,51.528769,-0.088522,15.2
010/05/20T18:37:40,51.528924,-0.088336,9
010/05/20T18:38:07,51.529074,-0.087965,25.8
010/05/20T18:38:23,51.529191,-0.087662,24.1
010/05/20T18:38:25,51.529185,-0.087624,15.6
010/05/20T18:38:37,51.529110,-0.087438,15.6
010/05/20T18:38:47,51.529251,-0.087365,31.5
010/05/20T18:38:52,51.529381,-0.087258,31.5
010/05/20T18:38:59,51.529513,-0.087097,12.4
010/05/20T18:39:00,51.529513,-0.087097,12.4
010/05/20T18:39:11,51.529636,-0.086968,6.2
010/05/20T18:39:49,51.529854,-0.086704,7.3
010/05/20T18:40:01,51.530020,-0.086534,13.3
010/05/20T18:40:19,51.530387,-0.086329,31
010/05/20T18:40:30,51.530619,-0.086337,32.7
010/05/20T18:40:36,51.530735,-0.086322,32.7
010/05/20T18:40:43,51.530897,-0.086311,12.4
010/05/20T18:40:52,51.531071,-0.086217,12.4
010/05/20T18:40:54,51.531081,-0.086210,12.4
010/05/20T18:41:06,51.531226,-0.086162,17.1
010/05/20T18:41:14,51.531364,-0.086220,14.6
010/05/20T18:41:22,51.531500,-0.086286,14.6
010/05/20T18:41:22,51.531507,-0.086293,14.6
010/05/20T18:41:32,51.531631,-0.086413,6.8
010/05/20T18:41:40,51.531756,-0.086525,11.4
010/05/20T18:41:44,51.531812,-0.086573,11.4
010/05/20T18:41:55,51.531935,-0.086673,31.7
010/05/20T18:42:04,51.532062,-0.086753,31.7
010/05/20T18:42:14,51.532224,-0.086851,32.6
010/05/20T18:42:28,51.532438,-0.086953,22
010/05/20T18:42:39,51.532573,-0.087055,22
010/05/20T18:42:43,51.532668,-0.087144,12
010/05/20T18:42:49,51.532805,-0.087197,12
010/05/20T18:42:56,51.532938,-0.087112,8.3
010/05/20T18:43:06,51.533093,-0.086901,8.3
010/05/20T18:43:08,51.533110,-0.086861,8.3
010/05/20T18:43:20,51.533195,-0.086528,7.8
010/05/20T18:43:22,51.533204,-0.086505,7.8
010/05/20T18:43:34,51.533149,-0.086275,18.4
010/05/20T18:43:43,51.533128,-0.086044,34.7
010/05/20T18:43:54,51.533128,-0.085789,34.7
010/05/20T18:44:04,51.533145,-0.085544,10.2
010/05/20T18:44:17,51.533147,-0.085242,21.6
010/05/20T18:44:29,51.533153,-0.085022,10.7
010/05/20T18:44:33,51.533156,-0.084917,10.7
010/05/20T18:44:42,51.533159,-0.084561,8.7
010/05/20T18:44:55,51.533150,-0.084203,20.1
010/05/20T18:45:04,51.533138,-0.083949,20.1
010/05/20T18:45:14,51.533132,-0.083700,17.1
010/05/20T18:45:22,51.533130,-0.083464,17.1
010/05/20T18:45:30,51.533155,-0.083237,4.6
010/05/20T18:45:33,51.533161,-0.083145,4.6
010/05/20T18:45:53,51.533261,-0.082938,12.7
010/05/20T18:46:13,51.533468,-0.082957,6.9
010/05/20T18:46:20,51.533608,-0.082951,6.9
010/05/20T18:46:22,51.533637,-0.082951,6.9
010/05/20T18:46:28,51.533775,-0.082928,9.1
010/05/20T18:46:35,51.533923,-0.082883,9.1
010/05/20T18:46:44,51.534077,-0.082858,21.7
010/05/20T18:46:45,51.534101,-0.082854,21.7
010/05/20T18:46:59,51.534300,-0.082809,26.3
010/05/20T18:47:08,51.534436,-0.082802,26.3
010/05/20T18:47:20,51.534599,-0.082848,30.8
010/05/20T18:47:21,51.534599,-0.082848,30.8
010/05/20T18:47:31,51.534750,-0.082857,10.3
010/05/20T18:47:47,51.534963,-0.082689,31.1
010/05/20T18:48:06,51.535030,-0.082410,14.7
