time, lat, lon, pm1.0
010/05/10T15:54:37,51.533689,-0.121111,.57
010/05/10T15:54:38,51.533689,-0.121111,.57
010/05/10T15:55:53,51.533689,-0.121111,.66
010/05/10T15:55:58,51.533689,-0.121111,.66
010/05/10T15:56:20,51.533568,-0.122038,.55
010/05/10T15:56:29,51.533568,-0.122038,.64
010/05/10T17:22:45,51.533450,-0.120685,.66
010/05/10T17:22:47,51.533648,-0.119340,.66
010/05/10T17:23:24,51.533406,-0.118770,.65
010/05/10T17:23:52,51.533640,-0.118482,.55
010/05/10T17:23:54,51.533640,-0.118482,.55
010/05/10T17:24:07,51.533809,-0.118233,.53
010/05/10T17:24:17,51.533906,-0.118107,.61
010/05/10T17:24:25,51.534002,-0.118026,.61
010/05/10T17:24:40,51.534221,-0.117876,.61
010/05/10T17:24:55,51.534394,-0.117708,.7
010/05/10T17:25:15,51.534618,-0.117417,.67
010/05/10T17:25:40,51.534813,-0.117241,.68
010/05/10T17:25:45,51.534922,-0.117223,.6
010/05/10T17:25:49,51.535029,-0.117191,.6
010/05/10T17:25:57,51.535153,-0.117123,.6
010/05/10T17:26:10,51.535298,-0.117079,.54
010/05/10T17:26:19,51.535391,-0.117054,.65
010/05/10T17:26:25,51.535487,-0.117032,.65
010/05/10T17:26:31,51.535579,-0.116992,.5
010/05/10T17:26:38,51.535658,-0.116910,.5
010/05/10T17:26:48,51.535735,-0.116817,.69
010/05/10T17:27:01,51.535856,-0.116631,.57
010/05/10T17:27:13,51.535949,-0.116548,.57
010/05/10T17:27:24,51.536081,-0.116541,.57
010/05/10T17:27:33,51.536206,-0.116540,.68
010/05/10T17:27:47,51.536488,-0.116500,.51
010/05/10T17:27:56,51.536603,-0.116482,.51
010/05/10T17:28:02,51.536703,-0.116473,.63
010/05/10T17:28:39,51.536956,-0.116078,.52
010/05/10T17:28:41,51.536960,-0.116035,.52
010/05/10T17:28:43,51.536963,-0.115995,.52
010/05/10T17:29:16,51.536927,-0.115494,.65
010/05/10T17:29:25,51.536908,-0.115271,.65
010/05/10T17:29:33,51.536854,-0.114979,.62
010/05/10T17:30:00,51.536828,-0.114516,.55
010/05/10T17:30:13,51.536806,-0.114081,.55
010/05/10T17:30:32,51.536871,-0.113961,.55
010/05/10T17:30:37,51.536962,-0.113931,.55
010/05/10T17:30:42,51.537055,-0.113911,.55
010/05/10T17:30:49,51.537130,-0.113895,.65
010/05/10T17:30:55,51.537229,-0.113851,.65
010/05/10T17:31:04,51.537320,-0.113877,.64
010/05/10T17:31:12,51.537413,-0.113878,.64
010/05/10T17:31:19,51.537509,-0.113877,.61
010/05/10T17:31:20,51.537519,-0.113873,.61
010/05/10T17:31:27,51.537625,-0.113831,.61
010/05/10T17:31:36,51.537721,-0.113798,.68
010/05/10T17:31:39,51.537752,-0.113786,.68
010/05/10T17:31:46,51.537842,-0.113768,.54
010/05/10T17:31:53,51.537923,-0.113760,.54
010/05/10T17:32:03,51.538049,-0.113722,.6
010/05/10T17:32:14,51.538169,-0.113667,.64
010/05/10T17:32:33,51.538387,-0.113557,.67
010/05/10T17:32:44,51.538447,-0.113589,.53
010/05/10T17:33:20,51.538549,-0.113674,.63
010/05/10T17:33:38,51.538572,-0.113670,.59
010/05/10T17:33:45,51.538580,-0.113669,.61
010/05/10T17:33:46,51.538580,-0.113669,.61
010/05/10T17:33:53,51.538601,-0.113687,.61
010/05/10T17:33:57,51.538602,-0.113689,.61
010/05/10T17:34:03,51.538617,-0.113708,.62
010/05/10T17:34:54,51.538895,-0.113625,.64
010/05/10T17:35:12,51.539055,-0.113604,.58
010/05/10T17:35:29,51.539202,-0.113588,.65
010/05/10T17:35:40,51.539304,-0.113605,.65
010/05/10T17:35:46,51.539416,-0.113612,.69
010/05/10T17:35:51,51.539530,-0.113602,.69
010/05/10T17:35:59,51.539803,-0.113536,.56
010/05/10T17:36:19,51.540080,-0.113540,.58
010/05/10T17:36:28,51.540172,-0.113513,.58
010/05/10T17:36:36,51.540287,-0.113506,.67
010/05/10T17:36:41,51.540398,-0.113503,.67
010/05/10T17:36:53,51.540670,-0.113503,.64
010/05/10T17:36:57,51.540670,-0.113503,.64
010/05/10T17:36:58,51.540756,-0.113434,.64
010/05/10T17:37:24,51.540793,-0.113164,.73
010/05/10T17:37:40,51.540773,-0.112711,.67
010/05/10T17:37:51,51.540802,-0.112481,.69
010/05/10T17:38:06,51.540874,-0.112322,.69
010/05/10T17:38:27,51.541166,-0.112302,.6
010/05/10T17:38:34,51.541253,-0.112248,.61
010/05/10T17:38:54,51.541327,-0.112128,.58
010/05/10T17:39:07,51.541423,-0.111986,.57
010/05/10T17:39:16,51.541461,-0.111729,.77
010/05/10T17:39:29,51.541512,-0.111261,.62
010/05/10T17:39:41,51.541526,-0.111000,.62
010/05/10T17:39:43,51.541526,-0.111000,.62
010/05/10T17:39:52,51.541518,-0.110822,.62
010/05/10T17:39:54,51.541518,-0.110822,.62
010/05/10T17:40:21,51.541578,-0.110446,.6
010/05/10T17:40:35,51.541632,-0.110112,.65
010/05/10T17:40:58,51.541885,-0.109944,.73
010/05/10T17:41:06,51.542008,-0.109951,.66
010/05/10T17:41:49,51.542150,-0.109667,.63
010/05/10T17:42:07,51.542235,-0.109151,.68
010/05/10T17:42:09,51.542235,-0.109151,.68
010/05/10T17:42:16,51.542275,-0.108697,.63
010/05/10T17:42:28,51.542320,-0.108392,.63
010/05/10T17:42:34,51.542347,-0.108270,.66
010/05/10T17:42:41,51.542419,-0.108070,.66
010/05/10T17:42:48,51.542461,-0.107927,.66
010/05/10T17:42:55,51.542502,-0.107765,.66
010/05/10T17:43:02,51.542542,-0.107598,.66
010/05/10T17:43:13,51.542570,-0.107455,.66
010/05/10T17:43:25,51.542594,-0.107169,.58
010/05/10T17:43:38,51.542611,-0.106997,.7
010/05/10T17:43:44,51.542620,-0.106832,.73
010/05/10T17:43:45,51.542620,-0.106832,.73
010/05/10T17:43:48,51.542634,-0.106686,.73
010/05/10T17:43:54,51.542694,-0.106504,.73
010/05/10T17:43:59,51.542730,-0.106368,.72
010/05/10T17:44:05,51.542763,-0.106229,.72
010/05/10T17:44:10,51.542784,-0.106074,.72
010/05/10T17:44:15,51.542794,-0.105920,.78
010/05/10T17:44:21,51.542808,-0.105782,.78
010/05/10T17:44:27,51.542831,-0.105636,.78
010/05/10T17:44:34,51.542856,-0.105486,.52
010/05/10T17:44:42,51.542888,-0.105331,.52
010/05/10T17:44:47,51.542908,-0.105186,.58
010/05/10T17:44:55,51.542935,-0.105019,.58
010/05/10T17:45:01,51.542951,-0.104853,.72
010/05/10T17:45:07,51.542968,-0.104678,.72
010/05/10T17:45:18,51.543003,-0.104401,.54
010/05/10T17:45:27,51.543035,-0.104247,.54
010/05/10T17:45:36,51.543054,-0.104094,.66
010/05/10T17:46:05,51.543183,-0.103658,.71
010/05/10T17:46:16,51.543152,-0.103517,.63
010/05/10T17:46:28,51.543115,-0.103376,.63
010/05/10T17:46:43,51.543123,-0.103142,.63
010/05/10T17:46:58,51.543163,-0.102736,.56
010/05/10T17:47:01,51.543163,-0.102736,.66
010/05/10T17:47:05,51.543183,-0.102552,.66
010/05/10T17:47:12,51.543198,-0.102356,.66
010/05/10T17:47:22,51.543212,-0.102154,.66
010/05/10T17:47:30,51.543234,-0.101995,.6
010/05/10T17:47:30,51.543238,-0.101976,.6
010/05/10T17:47:38,51.543266,-0.101803,.6
010/05/10T17:47:46,51.543292,-0.101653,.71
010/05/10T17:47:49,51.543292,-0.101653,.71
010/05/10T17:47:52,51.543314,-0.101501,.71
010/05/10T17:48:00,51.543342,-0.101359,.62
010/05/10T17:48:07,51.543401,-0.101238,.62
010/05/10T17:48:18,51.543495,-0.101145,.65
010/05/10T17:48:25,51.543585,-0.101010,.65
010/05/10T17:48:31,51.543627,-0.100887,.7
010/05/10T17:48:36,51.543664,-0.100745,.7
010/05/10T17:48:43,51.543651,-0.100576,.7
010/05/10T17:49:00,51.543619,-0.100395,.68
010/05/10T17:49:09,51.543648,-0.100248,.68
010/05/10T17:49:19,51.543702,-0.100019,.65
