time, lat, lon, total
010/05/10T15:54:37,51.533689,-0.121111,11.8
010/05/10T15:54:38,51.533689,-0.121111,11.8
010/05/10T15:55:53,51.533689,-0.121111,21.7
010/05/10T15:55:58,51.533689,-0.121111,21.7
010/05/10T15:56:20,51.533568,-0.122038,24.3
010/05/10T15:56:29,51.533568,-0.122038,37.8
010/05/10T17:22:45,51.533450,-0.120685,29.8
010/05/10T17:22:47,51.533648,-0.119340,29.8
010/05/10T17:23:24,51.533406,-0.118770,22.6
010/05/10T17:23:52,51.533640,-0.118482,34.1
010/05/10T17:23:54,51.533640,-0.118482,34.1
010/05/10T17:24:07,51.533809,-0.118233,17.6
010/05/10T17:24:17,51.533906,-0.118107,20.9
010/05/10T17:24:25,51.534002,-0.118026,20.9
010/05/10T17:24:40,51.534221,-0.117876,17.6
010/05/10T17:24:55,51.534394,-0.117708,33.1
010/05/10T17:25:15,51.534618,-0.117417,35.5
010/05/10T17:25:40,51.534813,-0.117241,30.8
010/05/10T17:25:45,51.534922,-0.117223,14.2
010/05/10T17:25:49,51.535029,-0.117191,14.2
010/05/10T17:25:57,51.535153,-0.117123,14.2
010/05/10T17:26:10,51.535298,-0.117079,17.3
010/05/10T17:26:19,51.535391,-0.117054,18.3
010/05/10T17:26:25,51.535487,-0.117032,18.3
010/05/10T17:26:31,51.535579,-0.116992,12.2
010/05/10T17:26:38,51.535658,-0.116910,12.2
010/05/10T17:26:48,51.535735,-0.116817,38.7
010/05/10T17:27:01,51.535856,-0.116631,37
010/05/10T17:27:13,51.535949,-0.116548,37
010/05/10T17:27:24,51.536081,-0.116541,10.8
010/05/10T17:27:33,51.536206,-0.116540,8.6
010/05/10T17:27:47,51.536488,-0.116500,9.3
010/05/10T17:27:56,51.536603,-0.116482,9.3
010/05/10T17:28:02,51.536703,-0.116473,10.1
010/05/10T17:28:39,51.536956,-0.116078,22.3
010/05/10T17:28:41,51.536960,-0.116035,22.3
010/05/10T17:28:43,51.536963,-0.115995,22.3
010/05/10T17:29:16,51.536927,-0.115494,14.4
010/05/10T17:29:25,51.536908,-0.115271,14.4
010/05/10T17:29:33,51.536854,-0.114979,7.1
010/05/10T17:30:00,51.536828,-0.114516,10.3
010/05/10T17:30:13,51.536806,-0.114081,10.3
010/05/10T17:30:32,51.536871,-0.113961,29.5
010/05/10T17:30:37,51.536962,-0.113931,29.5
010/05/10T17:30:42,51.537055,-0.113911,29.5
010/05/10T17:30:49,51.537130,-0.113895,17.4
010/05/10T17:30:55,51.537229,-0.113851,17.4
010/05/10T17:31:04,51.537320,-0.113877,35.9
010/05/10T17:31:12,51.537413,-0.113878,35.9
010/05/10T17:31:19,51.537509,-0.113877,37.9
010/05/10T17:31:20,51.537519,-0.113873,37.9
010/05/10T17:31:27,51.537625,-0.113831,37.9
010/05/10T17:31:36,51.537721,-0.113798,30.7
010/05/10T17:31:39,51.537752,-0.113786,30.7
010/05/10T17:31:46,51.537842,-0.113768,25
010/05/10T17:31:53,51.537923,-0.113760,25
010/05/10T17:32:03,51.538049,-0.113722,9.1
010/05/10T17:32:14,51.538169,-0.113667,13.9
010/05/10T17:32:33,51.538387,-0.113557,27.5
010/05/10T17:32:44,51.538447,-0.113589,23.6
010/05/10T17:33:20,51.538549,-0.113674,20.3
010/05/10T17:33:38,51.538572,-0.113670,33.3
010/05/10T17:33:45,51.538580,-0.113669,31
010/05/10T17:33:46,51.538580,-0.113669,31
010/05/10T17:33:53,51.538601,-0.113687,31
010/05/10T17:33:57,51.538602,-0.113689,31
010/05/10T17:34:03,51.538617,-0.113708,35.1
010/05/10T17:34:54,51.538895,-0.113625,15.3
010/05/10T17:35:12,51.539055,-0.113604,25.6
010/05/10T17:35:29,51.539202,-0.113588,12.3
010/05/10T17:35:40,51.539304,-0.113605,12.3
010/05/10T17:35:46,51.539416,-0.113612,23.5
010/05/10T17:35:51,51.539530,-0.113602,23.5
010/05/10T17:35:59,51.539803,-0.113536,14.1
010/05/10T17:36:19,51.540080,-0.113540,25.1
010/05/10T17:36:28,51.540172,-0.113513,25.1
010/05/10T17:36:36,51.540287,-0.113506,63.5
010/05/10T17:36:41,51.540398,-0.113503,63.5
010/05/10T17:36:53,51.540670,-0.113503,17
010/05/10T17:36:57,51.540670,-0.113503,17
010/05/10T17:36:58,51.540756,-0.113434,17
010/05/10T17:37:24,51.540793,-0.113164,24.2
010/05/10T17:37:40,51.540773,-0.112711,16.7
010/05/10T17:37:51,51.540802,-0.112481,51.5
010/05/10T17:38:06,51.540874,-0.112322,39.4
010/05/10T17:38:27,51.541166,-0.112302,20.6
010/05/10T17:38:34,51.541253,-0.112248,27.9
010/05/10T17:38:54,51.541327,-0.112128,24.8
010/05/10T17:39:07,51.541423,-0.111986,31.7
010/05/10T17:39:16,51.541461,-0.111729,14.4
